time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,elevation,country,city
1/1/2010,1,24.4,19.1,21.5,27.1,20.8,23.5,2010-01-01T00:47,2010-01-01T12:30,19.11,0,0,0,0,12.9,34.9,9,3.54,7.0999985,81.100006,652,Sri Lanka,Badulla
1/2/2010,2,24.3,19.3,21.5,27.3,21.3,23.8,2010-01-02T00:47,2010-01-02T12:31,18.07,0,0,0,0,11.2,30.6,17,3.3,7.0999985,81.100006,652,Sri Lanka,Badulla
1/3/2010,51,23.4,18.9,21.1,26.3,21.3,23.7,2010-01-03T00:48,2010-01-03T12:32,13.13,2,2,0,8,10.3,28.8,17,2.47,7.0999985,81.100006,652,Sri Lanka,Badulla
1/4/2010,61,24.4,18.2,21.2,27.3,20.2,23.7,2010-01-04T00:48,2010-01-04T12:32,12.9,5.9,5.9,0,8,5.8,22,358,2.5,7.0999985,81.100006,652,Sri Lanka,Badulla
1/5/2010,51,24.9,17.5,21,29.2,18.9,23.2,2010-01-05T00:49,2010-01-05T12:32,18.08,1.4,1.4,0,9,6.5,24.1,32,3.46,7.0999985,81.100006,652,Sri Lanka,Badulla
1/6/2010,51,24.1,16.7,20.2,26.2,18,21.6,2010-01-06T00:49,2010-01-06T12:33,15.97,0.8,0.8,0,4,7,23,3,3.08,7.0999985,81.100006,652,Sri Lanka,Badulla
1/7/2010,53,24.6,17.9,21.6,28.3,19.1,24.1,2010-01-07T00:49,2010-01-07T12:33,17.46,0.8,0.8,0,2,6.8,21.6,348,3.35,7.0999985,81.100006,652,Sri Lanka,Badulla
1/8/2010,61,25.9,19,22.2,30.1,21.3,25.4,2010-01-08T00:50,2010-01-08T12:34,14.06,6.7,6.7,0,15,7.6,22,196,2.78,7.0999985,81.100006,652,Sri Lanka,Badulla
1/9/2010,51,26.2,18.3,22.1,30.3,20.8,25.4,2010-01-09T00:50,2010-01-09T12:34,18.8,2,2,0,8,10.9,28.4,114,3.55,7.0999985,81.100006,652,Sri Lanka,Badulla
1/10/2010,2,26.6,17.7,22.3,30.7,19.8,25.5,2010-01-10T00:50,2010-01-10T12:35,21.38,0,0,0,0,8.2,23,147,4.06,7.0999985,81.100006,652,Sri Lanka,Badulla
1/11/2010,53,26,18.3,22.1,30.3,21,25.6,2010-01-11T00:51,2010-01-11T12:35,19.86,2.5,2.5,0,6,7.5,23.4,103,3.74,7.0999985,81.100006,652,Sri Lanka,Badulla
1/12/2010,53,26.3,18.4,22.5,30.3,21.1,25.8,2010-01-12T00:51,2010-01-12T12:36,19.67,2.1,2.1,0,10,5,20.5,38,3.77,7.0999985,81.100006,652,Sri Lanka,Badulla
1/13/2010,53,26.1,20,22.4,31.4,23,26,2010-01-13T00:51,2010-01-13T12:36,18.07,2.8,2.8,0,8,8,27.4,38,3.46,7.0999985,81.100006,652,Sri Lanka,Badulla
1/14/2010,51,25.5,19.5,22,28.8,21.8,24.7,2010-01-14T00:51,2010-01-14T12:37,19.82,0.5,0.5,0,3,12.9,34.6,37,3.63,7.0999985,81.100006,652,Sri Lanka,Badulla
1/15/2010,1,24.9,19.2,21.4,27.8,20.9,23.4,2010-01-15T00:52,2010-01-15T12:37,23.24,0,0,0,0,11,31.3,18,4.2,7.0999985,81.100006,652,Sri Lanka,Badulla
1/16/2010,51,24.3,20,21.4,27.4,22,23.7,2010-01-16T00:52,2010-01-16T12:38,18.95,2.4,2.4,0,10,15.3,41.8,24,3.27,7.0999985,81.100006,652,Sri Lanka,Badulla
1/17/2010,53,23.7,19.9,21.1,27.2,22.6,23.8,2010-01-17T00:52,2010-01-17T12:38,15.45,2.5,2.5,0,7,13.8,39.6,20,2.62,7.0999985,81.100006,652,Sri Lanka,Badulla
1/18/2010,51,23.9,19.6,21.2,27.2,22.2,23.7,2010-01-18T00:52,2010-01-18T12:39,15.96,1.2,1.2,0,6,11.3,33.1,21,2.83,7.0999985,81.100006,652,Sri Lanka,Badulla
1/19/2010,53,24.3,19,21.4,27,21.1,23.8,2010-01-19T00:53,2010-01-19T12:39,16.61,2.1,2.1,0,6,12,36,23,3.01,7.0999985,81.100006,652,Sri Lanka,Badulla
1/20/2010,1,24.9,18.5,21.2,28,20.1,23,2010-01-20T00:53,2010-01-20T12:39,20.51,0,0,0,0,9.7,28.1,11,3.8,7.0999985,81.100006,652,Sri Lanka,Badulla
1/21/2010,1,24.5,17.8,20.9,27.8,19.2,22.7,2010-01-21T00:53,2010-01-21T12:40,17.47,0,0,0,0,8.7,25.6,12,3.33,7.0999985,81.100006,652,Sri Lanka,Badulla
1/22/2010,2,24.9,17.5,21.1,28.5,18.8,23.2,2010-01-22T00:53,2010-01-22T12:40,19.93,0,0,0,0,6.8,24.5,24,3.74,7.0999985,81.100006,652,Sri Lanka,Badulla
1/23/2010,3,24.3,18.2,20.9,26.5,19.9,22.8,2010-01-23T00:53,2010-01-23T12:41,18.9,0,0,0,0,6.8,24.8,33,3.52,7.0999985,81.100006,652,Sri Lanka,Badulla
