time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,elevation,country,city
1/1/2010,2,29.7,23,26.3,34.3,25.7,30.2,2010-01-01T00:50,2010-01-01T12:36,20.92,0,0,0,0,11.7,27.4,20,4.35,6.5,80,10,Sri Lanka,Bentota
1/2/2010,51,29.3,24.1,26.2,33.6,27.7,30.4,2010-01-02T00:51,2010-01-02T12:36,17.71,0.1,0.1,0,1,13,27,24,3.62,6.5,80,10,Sri Lanka,Bentota
1/3/2010,51,29.2,23.7,25.9,34.2,27.4,30.1,2010-01-03T00:51,2010-01-03T12:37,17.76,0.6,0.6,0,3,12.3,27.4,16,3.54,6.5,80,10,Sri Lanka,Bentota
1/4/2010,2,28.7,22.5,25.6,31.6,24.3,28.3,2010-01-04T00:52,2010-01-04T12:37,16.5,0,0,0,0,17,34.6,356,3.74,6.5,80,10,Sri Lanka,Bentota
1/5/2010,1,28.1,22,25,29.7,24,26.8,2010-01-05T00:52,2010-01-05T12:38,23.61,0,0,0,0,18.7,37.1,355,5.05,6.5,80,10,Sri Lanka,Bentota
1/6/2010,2,28.6,22.4,25.4,31.2,24.6,27.5,2010-01-06T00:52,2010-01-06T12:38,21.48,0,0,0,0,17.1,32,12,4.76,6.5,80,10,Sri Lanka,Bentota
1/7/2010,3,28.9,23,26.1,33.6,25.8,29.2,2010-01-07T00:53,2010-01-07T12:39,19.38,0,0,0,0,13.5,25.6,10,4.28,6.5,80,10,Sri Lanka,Bentota
1/8/2010,53,28.5,24,26,32.3,27.2,30,2010-01-08T00:53,2010-01-08T12:39,13,0.8,0.8,0,3,13,24.8,10,2.87,6.5,80,10,Sri Lanka,Bentota
1/9/2010,61,28.9,24.3,26.4,34.6,28.8,31.3,2010-01-09T00:53,2010-01-09T12:40,16.89,3.2,3.2,0,5,11.5,31.7,164,3.38,6.5,80,10,Sri Lanka,Bentota
1/10/2010,51,30,23.4,26.4,35.8,27.9,31.4,2010-01-10T00:54,2010-01-10T12:40,20.52,0.1,0.1,0,1,6.9,18.4,26,4.16,6.5,80,10,Sri Lanka,Bentota
