time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,elevation,country,city
1/1/2010,51,30.6,24.3,27,37,28.9,32.5,2010-01-01T00:49,2010-01-01T12:35,21.77,0.4,0.4,0,2,7.2,22.3,114,4.34,6.0999985,80.20001,15,Sri Lanka,Galle
1/2/2010,51,29.7,25.3,26.9,36.6,30.2,32.5,2010-01-02T00:49,2010-01-02T12:36,20.47,1.4,1.4,0,5,5.4,22.3,260,4.13,6.0999985,80.20001,15,Sri Lanka,Galle
1/3/2010,51,28.5,24.9,26.3,35,30,31.8,2010-01-03T00:50,2010-01-03T12:36,17.11,3.3,3.3,0,16,8.2,24.1,114,3.39,6.0999985,80.20001,15,Sri Lanka,Galle
1/4/2010,53,27.4,23.6,25.7,33.3,28.6,31,2010-01-04T00:50,2010-01-04T12:37,13.12,1.2,1.2,0,5,7.1,24.8,264,2.62,6.0999985,80.20001,15,Sri Lanka,Galle
1/5/2010,3,28.9,22.8,26,32.6,27,30.1,2010-01-05T00:50,2010-01-05T12:37,21.46,0,0,0,0,11.3,26.3,282,4.23,6.0999985,80.20001,15,Sri Lanka,Galle
1/6/2010,51,29.1,22.9,25.9,33.8,26.7,30,2010-01-06T00:51,2010-01-06T12:38,19.56,0.2,0.2,0,2,10.1,23.4,201,4.06,6.0999985,80.20001,15,Sri Lanka,Galle
1/7/2010,3,28.8,22.9,26.5,34.3,26.3,31.1,2010-01-07T00:51,2010-01-07T12:38,21.25,0,0,0,0,12.8,23.8,261,4.12,6.0999985,80.20001,15,Sri Lanka,Galle
1/8/2010,51,28.7,25,26.7,33.8,30,32,2010-01-08T00:51,2010-01-08T12:39,15.81,1,1,0,6,8.8,19.1,176,3.21,6.0999985,80.20001,15,Sri Lanka,Galle
1/9/2010,51,29.5,25.2,26.7,35.1,29.6,31.5,2010-01-09T00:52,2010-01-09T12:39,19.56,0.6,0.6,0,5,14.5,30.2,100,3.88,6.0999985,80.20001,15,Sri Lanka,Galle
1/10/2010,1,30.3,25.1,27.5,35.9,30.2,32.5,2010-01-10T00:52,2010-01-10T12:40,22.04,0,0,0,0,13.4,27.4,98,4.49,6.0999985,80.20001,15,Sri Lanka,Galle
1/11/2010,51,30,24.6,26.9,36.5,29.9,32.6,2010-01-11T00:52,2010-01-11T12:40,21.41,0.5,0.5,0,2,9.6,24.8,101,4.2,6.0999985,80.20001,15,Sri Lanka,Galle
1/12/2010,61,29.8,24,26.8,36.7,29.3,32.6,2010-01-12T00:53,2010-01-12T12:41,21.9,5.4,5.4,0,7,6.6,18.7,84,4.34,6.0999985,80.20001,15,Sri Lanka,Galle
1/13/2010,53,29.4,24.3,26.5,37,29.3,32.2,2010-01-13T00:53,2010-01-13T12:41,20.69,2.7,2.7,0,7,8.7,23.4,101,4.06,6.0999985,80.20001,15,Sri Lanka,Galle
1/14/2010,51,30.2,24.2,26.9,35,28.4,31.4,2010-01-14T00:53,2010-01-14T12:42,21.32,0.6,0.6,0,2,17.6,38.2,72,4.25,6.0999985,80.20001,15,Sri Lanka,Galle
1/15/2010,1,30.4,24.3,27,36.5,28.4,32,2010-01-15T00:54,2010-01-15T12:42,23.06,0,0,0,0,11.1,25.6,57,4.57,6.0999985,80.20001,15,Sri Lanka,Galle
1/16/2010,53,29.9,24.5,26.6,36.2,29.6,31.6,2010-01-16T00:54,2010-01-16T12:43,20.33,1.8,1.8,0,7,11.9,32.8,60,4.07,6.0999985,80.20001,15,Sri Lanka,Galle
1/17/2010,61,29.7,24.9,26.7,35.7,29.9,32.1,2010-01-17T00:54,2010-01-17T12:43,17.8,2.1,2.1,0,5,11.8,34.9,46,3.59,6.0999985,80.20001,15,Sri Lanka,Galle
1/18/2010,63,28.9,23.9,26.5,35.3,28.7,32,2010-01-18T00:54,2010-01-18T12:43,16.58,7,7,0,10,6.9,29.5,53,3.35,6.0999985,80.20001,15,Sri Lanka,Galle
1/19/2010,61,30.4,23.5,26.2,36.5,28.4,31.3,2010-01-19T00:55,2010-01-19T12:44,19.7,3.6,3.6,0,3,9.7,30.2,63,3.91,6.0999985,80.20001,15,Sri Lanka,Galle
1/20/2010,51,29.9,23.6,26.6,37,28.2,32.1,2010-01-20T00:55,2010-01-20T12:44,22.08,0.1,0.1,0,1,7.2,19.4,257,4.44,6.0999985,80.20001,15,Sri Lanka,Galle
