time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,elevation,country,city
1/1/2010,1,29.2,23.7,26.2,32.5,26.8,29,2010-01-01T00:45,2010-01-01T12:32,21.27,0,0,0,0,18.2,35.3,51,4.68,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/2/2010,1,29.3,24.1,26.3,33.3,27,29.5,2010-01-02T00:46,2010-01-02T12:32,20.98,0,0,0,0,19.1,33.8,49,4.52,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/3/2010,53,28.6,23.3,25.5,32.7,27.1,29.1,2010-01-03T00:46,2010-01-03T12:33,15.96,1.1,1.1,0,3,16.6,29.2,53,3.36,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/4/2010,53,27.9,23.2,25.4,32.3,27,29.5,2010-01-04T00:47,2010-01-04T12:33,13.5,2,2,0,5,7.6,26.6,104,2.82,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/5/2010,51,28,22.7,25.6,33,25.7,28.7,2010-01-05T00:47,2010-01-05T12:34,18.4,0.1,0.1,0,1,15.3,28.4,109,4.06,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/6/2010,3,28.6,23.6,25.7,33,25.7,28.1,2010-01-06T00:47,2010-01-06T12:34,17.59,0,0,0,0,11.5,20.9,52,4.13,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/7/2010,51,29.3,22.9,26.2,34.6,25.4,30.2,2010-01-07T00:48,2010-01-07T12:35,19.85,0.2,0.2,0,1,9.7,18,209,4.12,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/8/2010,53,28.6,23.7,26,34.1,28.3,31,2010-01-08T00:48,2010-01-08T12:35,16.93,2.2,2.2,0,6,9.7,23,218,3.4,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/9/2010,51,28.3,23.2,25.8,34.7,27.8,30.7,2010-01-09T00:48,2010-01-09T12:36,19.36,2.3,2.3,0,10,15.6,26.3,79,3.65,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/10/2010,1,28.8,22.6,25.9,34.8,26.9,30.8,2010-01-10T00:49,2010-01-10T12:36,21.54,0,0,0,0,10.9,21.6,75,4.18,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/11/2010,51,28.9,23,26.1,35.3,27.6,31.1,2010-01-11T00:49,2010-01-11T12:36,21.21,0.2,0.2,0,2,11.6,24.1,75,4.13,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/12/2010,51,29,23.1,26.1,35.4,27.7,31.3,2010-01-12T00:49,2010-01-12T12:37,21.07,0.2,0.2,0,2,7.1,16.6,62,4.17,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/13/2010,53,29.3,23.7,26,36,28.4,31.1,2010-01-13T00:50,2010-01-13T12:37,20.1,1.6,1.6,0,4,9.1,24.5,63,3.98,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/14/2010,1,29.4,24,26.5,33.7,28,30.1,2010-01-14T00:50,2010-01-14T12:38,21.21,0,0,0,0,18.8,34.9,59,4.38,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/15/2010,1,29.3,24.2,26.4,32.2,27,28.8,2010-01-15T00:50,2010-01-15T12:38,23.97,0,0,0,0,19.4,36,47,5.28,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/16/2010,51,29.2,24.3,25.9,32.5,26.8,28.8,2010-01-16T00:50,2010-01-16T12:39,20.44,0.1,0.1,0,1,25.8,45.4,51,4.24,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/17/2010,2,28.9,24.3,25.8,32.3,27.8,29,2010-01-17T00:51,2010-01-17T12:39,17.31,0,0,0,0,21.9,39.6,48,3.62,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/18/2010,51,28.2,24,25.5,32.9,27.3,29,2010-01-18T00:51,2010-01-18T12:40,16.5,1,1,0,4,15.3,32,51,3.44,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/19/2010,2,28.7,24,25.9,32,26.8,29.1,2010-01-19T00:51,2010-01-19T12:40,17.77,0,0,0,0,20.1,37.1,55,3.8,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/20/2010,1,29.9,23.7,26.3,33.7,25.8,29.1,2010-01-20T00:51,2010-01-20T12:40,22.35,0,0,0,0,14.6,27.4,46,4.95,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/21/2010,1,29.2,23.5,26,33,25.5,28.2,2010-01-21T00:52,2010-01-21T12:41,19.97,0,0,0,0,16.6,26.6,51,4.76,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/22/2010,3,29.2,23.4,26,32.3,25.6,28.3,2010-01-22T00:52,2010-01-22T12:41,20.64,0,0,0,0,16.1,28.4,60,4.81,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/23/2010,3,29.1,23.3,25.9,32.2,25.6,28.4,2010-01-23T00:52,2010-01-23T12:42,20.85,0,0,0,0,17.2,28.4,55,4.74,6.2000046,81.20001,12,Sri Lanka,Hambantota
1/24/2010,3,29.3,23.1,26.4,32.9,25.7,29.4,2010-01-24T00:52,2010-01-24T12:42,19.54,0,0,0,0,13,27,53,4.4,6.2000046,81.20001,12,Sri Lanka,Hambantota
