time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,elevation,country,city
1/1/2010,2,24.2,17.4,20.5,26,18.4,21.9,2010-01-01T00:49,2010-01-01T12:32,18.1,0,0,0,0,11.5,37.4,55,3.51,6.9000015,80.600006,1281,Sri Lanka,Hatton
1/2/2010,3,24.4,18.3,20.5,26.2,19.8,22.3,2010-01-02T00:49,2010-01-02T12:33,16.09,0,0,0,0,9.8,32,52,3.14,6.9000015,80.600006,1281,Sri Lanka,Hatton
1/3/2010,51,23.6,17.8,19.9,25.7,20.1,22,2010-01-03T00:50,2010-01-03T12:34,13.35,1,1,0,5,6.9,24.1,46,2.61,6.9000015,80.600006,1281,Sri Lanka,Hatton
1/4/2010,53,22.8,17.1,19.7,24.5,19.1,21.9,2010-01-04T00:50,2010-01-04T12:34,13.62,1.4,1.4,0,6,7.4,24.8,359,2.59,6.9000015,80.600006,1281,Sri Lanka,Hatton
1/5/2010,51,23.9,16.9,20,26.9,18.8,21.9,2010-01-05T00:50,2010-01-05T12:34,20.75,0.8,0.8,0,4,5.4,21.6,10,3.91,6.9000015,80.600006,1281,Sri Lanka,Hatton
1/6/2010,51,23,16.4,19.2,24.3,18.1,20.5,2010-01-06T00:51,2010-01-06T12:35,17.32,0.7,0.7,0,3,9.2,27,47,3.29,6.9000015,80.600006,1281,Sri Lanka,Hatton
1/7/2010,53,23.6,17.1,20,26.8,18.6,22.2,2010-01-07T00:51,2010-01-07T12:35,17.45,0.7,0.7,0,2,4.4,20.5,48,3.32,6.9000015,80.600006,1281,Sri Lanka,Hatton
1/8/2010,61,22.5,18.1,20,25.9,20.5,22.6,2010-01-08T00:51,2010-01-08T12:36,12.2,5.6,5.6,0,13,6.2,22.3,219,2.32,6.9000015,80.600006,1281,Sri Lanka,Hatton
1/9/2010,53,23.8,17.2,20.3,27.6,19.1,22.9,2010-01-09T00:52,2010-01-09T12:36,18.47,2.3,2.3,0,7,5.9,27,108,3.47,6.9000015,80.600006,1281,Sri Lanka,Hatton
1/10/2010,51,24.2,16.3,20.1,27.8,17.8,22.6,2010-01-10T00:52,2010-01-10T12:37,21.12,0.2,0.2,0,2,4,22,116,3.95,6.9000015,80.600006,1281,Sri Lanka,Hatton
1/11/2010,51,23.6,16.5,20.1,27.5,18.3,22.7,2010-01-11T00:52,2010-01-11T12:37,19.36,1,1,0,5,3.4,18.7,80,3.68,6.9000015,80.600006,1281,Sri Lanka,Hatton
1/12/2010,51,23.6,17.5,20.3,27.3,20,22.9,2010-01-12T00:53,2010-01-12T12:38,19.94,0.2,0.2,0,2,4.9,21.2,38,3.74,6.9000015,80.600006,1281,Sri Lanka,Hatton
1/13/2010,53,24.4,18.1,20.2,29.2,20.4,23,2010-01-13T00:53,2010-01-13T12:38,18.1,3.8,3.8,0,8,5.7,23.8,60,3.43,6.9000015,80.600006,1281,Sri Lanka,Hatton
1/14/2010,51,23.9,17,20.2,27,18.5,22.2,2010-01-14T00:53,2010-01-14T12:39,19.09,0.1,0.1,0,1,10.7,34.9,59,3.51,6.9000015,80.600006,1281,Sri Lanka,Hatton
1/15/2010,2,24.2,16.8,19.9,26.8,18.2,21.4,2010-01-15T00:53,2010-01-15T12:39,22.14,0,0,0,0,9,30.2,57,4.12,6.9000015,80.600006,1281,Sri Lanka,Hatton
1/16/2010,51,23.7,17.5,20.1,26,18.8,21.8,2010-01-16T00:54,2010-01-16T12:40,18.12,3,3,0,9,12,39.2,60,3.3,6.9000015,80.600006,1281,Sri Lanka,Hatton
1/17/2010,61,23.2,18.1,19.8,25.3,19.8,21.8,2010-01-17T00:54,2010-01-17T12:40,13.4,5,5,0,11,11.2,40.7,57,2.53,6.9000015,80.600006,1281,Sri Lanka,Hatton
1/18/2010,61,22.8,17.9,19.6,25.9,19.8,21.7,2010-01-18T00:54,2010-01-18T12:41,14.61,6.1,6.1,0,9,8.9,33.8,55,2.67,6.9000015,80.600006,1281,Sri Lanka,Hatton
1/19/2010,53,23.4,17.1,19.7,26.7,18.7,21.8,2010-01-19T00:54,2010-01-19T12:41,16.84,2.7,2.7,0,7,9.5,29.9,55,3.11,6.9000015,80.600006,1281,Sri Lanka,Hatton
