time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,elevation,country,city
1/1/2010,2,27.5,25.8,26.6,28.4,26.3,27.2,2010-01-01T00:56,2010-01-01T12:30,16.89,0,0,0,0,27.1,39.6,45,4.86,9.700005,80,5,Sri Lanka,Jaffna
1/2/2010,51,27,25,25.9,28.2,26.7,27.3,2010-01-02T00:56,2010-01-02T12:31,16.48,1,1,0,7,27,38.5,42,4.03,9.700005,80,5,Sri Lanka,Jaffna
1/3/2010,51,26.7,24.6,25.4,28.3,25.6,26.4,2010-01-03T00:57,2010-01-03T12:31,18.55,0.2,0.2,0,2,27.8,39.2,41,4.33,9.700005,80,5,Sri Lanka,Jaffna
1/4/2010,3,26.5,24.1,25.3,27.7,25.1,25.9,2010-01-04T00:57,2010-01-04T12:32,18.48,0,0,0,0,21.6,31.7,29,4.76,9.700005,80,5,Sri Lanka,Jaffna
1/5/2010,2,26.4,23.9,25.2,28.5,24.5,25.7,2010-01-05T00:57,2010-01-05T12:32,21.39,0,0,0,0,23.7,33.1,25,5.29,9.700005,80,5,Sri Lanka,Jaffna
1/6/2010,3,27,25,26,27.6,25.2,26.2,2010-01-06T00:58,2010-01-06T12:33,17.72,0,0,0,0,26.9,41,40,5.02,9.700005,80,5,Sri Lanka,Jaffna
1/7/2010,61,27.3,24.3,25.9,28.3,25.7,26.5,2010-01-07T00:58,2010-01-07T12:33,19.74,7.4,7.4,0,6,27.6,40.3,27,4.97,9.700005,80,5,Sri Lanka,Jaffna
1/8/2010,63,25.4,24.4,25,27.3,25.7,26.6,2010-01-08T00:58,2010-01-08T12:34,7.18,26.3,26.3,0,21,31,40.3,26,1.9,9.700005,80,5,Sri Lanka,Jaffna
1/9/2010,53,27.8,24.4,25.9,32.5,26.7,29.7,2010-01-09T00:59,2010-01-09T12:34,15.41,2.5,2.5,0,7,21.6,32.4,75,3,9.700005,80,5,Sri Lanka,Jaffna
1/10/2010,51,27.1,24.5,25.9,32.1,28.3,29.8,2010-01-10T00:59,2010-01-10T12:35,17.7,0.5,0.5,0,4,17.2,25.9,64,3.31,9.700005,80,5,Sri Lanka,Jaffna
1/11/2010,51,28.1,25,26.3,34.1,28.9,30.8,2010-01-11T00:59,2010-01-11T12:35,19.42,0.1,0.1,0,1,14.7,22,66,3.84,9.700005,80,5,Sri Lanka,Jaffna
1/12/2010,53,27.9,25,26.2,34.1,28.8,30.7,2010-01-12T00:59,2010-01-12T12:36,17.99,3.3,3.3,0,12,14.3,21.6,57,3.57,9.700005,80,5,Sri Lanka,Jaffna
1/13/2010,51,27.6,25.2,26.4,33.3,29,30.4,2010-01-13T01:00,2010-01-13T12:36,17.32,1.5,1.5,0,8,18.2,26.3,68,3.51,9.700005,80,5,Sri Lanka,Jaffna
1/14/2010,51,28.2,25.2,26.5,32.3,27.5,29.5,2010-01-14T01:00,2010-01-14T12:37,21.09,0.7,0.7,0,4,21.8,32.4,59,4.34,9.700005,80,5,Sri Lanka,Jaffna
1/15/2010,51,26.7,25.3,26.1,28.9,26.4,27,2010-01-15T01:00,2010-01-15T12:37,20.31,0.1,0.1,0,1,27.5,40.7,49,4.82,9.700005,80,5,Sri Lanka,Jaffna
1/16/2010,51,27.4,25.4,26.3,28.9,25.9,27.2,2010-01-16T01:00,2010-01-16T12:38,17.61,0.5,0.5,0,4,31.1,45,38,4.45,9.700005,80,5,Sri Lanka,Jaffna
1/17/2010,2,27.2,25.3,26.2,28,26,27,2010-01-17T01:01,2010-01-17T12:38,17.86,0,0,0,0,29.4,42.5,38,4.62,9.700005,80,5,Sri Lanka,Jaffna
1/18/2010,2,27.6,25.3,26.3,29.4,26.6,27.5,2010-01-18T01:01,2010-01-18T12:39,19.28,0,0,0,0,24.8,36.4,45,4.9,9.700005,80,5,Sri Lanka,Jaffna
1/19/2010,1,27.4,24.9,26,29.3,25.9,27.1,2010-01-19T01:01,2010-01-19T12:39,19.93,0,0,0,0,23.5,33.8,47,4.89,9.700005,80,5,Sri Lanka,Jaffna
1/20/2010,1,27.1,24.6,25.7,28.9,25.1,26.5,2010-01-20T01:01,2010-01-20T12:40,20.55,0,0,0,0,23.9,34.6,43,5.07,9.700005,80,5,Sri Lanka,Jaffna
1/21/2010,1,26.7,23.8,25.2,27.8,23.5,25.3,2010-01-21T01:01,2010-01-21T12:40,20.92,0,0,0,0,26.6,38.2,38,5.17,9.700005,80,5,Sri Lanka,Jaffna
1/22/2010,2,25.7,23.7,24.6,25.8,23.2,24,2010-01-22T01:01,2010-01-22T12:41,21.28,0,0,0,0,26.1,37.8,39,5.48,9.700005,80,5,Sri Lanka,Jaffna
1/23/2010,1,27,24.1,25.5,27.4,23.6,25.7,2010-01-23T01:01,2010-01-23T12:41,22.11,0,0,0,0,24.6,34.9,41,5.6,9.700005,80,5,Sri Lanka,Jaffna
1/24/2010,1,27.1,24.3,25.5,30.3,26.2,27.4,2010-01-24T01:01,2010-01-24T12:41,20.79,0,0,0,0,18.3,27.4,41,4.72,9.700005,80,5,Sri Lanka,Jaffna
1/25/2010,51,26.6,24.3,25.4,28.9,26.2,27.3,2010-01-25T01:02,2010-01-25T12:42,19.73,0.6,0.6,0,4,23.5,34.6,44,4.2,9.700005,80,5,Sri Lanka,Jaffna
1/26/2010,1,27.6,24.7,26,30.3,26.5,28.1,2010-01-26T01:02,2010-01-26T12:42,21.34,0,0,0,0,23.6,35.6,43,4.61,9.700005,80,5,Sri Lanka,Jaffna
1/27/2010,1,27.5,25,26.2,30.5,27.1,28.2,2010-01-27T01:02,2010-01-27T12:43,19.85,0,0,0,0,26,37.8,47,4.29,9.700005,80,5,Sri Lanka,Jaffna
1/28/2010,2,27.7,24.9,26.2,30,26.4,27.8,2010-01-28T01:02,2010-01-28T12:43,20.42,0,0,0,0,27.5,39.2,46,4.49,9.700005,80,5,Sri Lanka,Jaffna
1/29/2010,1,27.4,25,26,29.2,25.4,26.8,2010-01-29T01:02,2010-01-29T12:43,21.77,0,0,0,0,27,39.2,41,5.2,9.700005,80,5,Sri Lanka,Jaffna
1/30/2010,1,27.3,25.1,26.1,28.2,25.3,26.5,2010-01-30T01:02,2010-01-30T12:44,21.97,0,0,0,0,29.9,42.8,41,5.48,9.700005,80,5,Sri Lanka,Jaffna
1/31/2010,2,27.4,25,26,28.9,25.7,26.8,2010-01-31T01:01,2010-01-31T12:44,21.02,0,0,0,0,26.6,38.2,42,5.19,9.700005,80,5,Sri Lanka,Jaffna
