time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,elevation,country,city
1/1/2010,2,25.3,18.7,22,27.2,20.3,23.8,2010-01-01T00:49,2010-01-01T12:32,18.09,0,0,0,0,15.3,38.9,57,3.43,7.300003,80.600006,510,Sri Lanka,Kandy
1/2/2010,2,25.6,19.4,22.2,28.4,21.6,24.8,2010-01-02T00:50,2010-01-02T12:32,15.47,0,0,0,0,13.3,33.1,46,2.95,7.300003,80.600006,510,Sri Lanka,Kandy
1/3/2010,51,25,19.5,22.1,28.2,22.1,25,2010-01-03T00:50,2010-01-03T12:33,14.99,0.1,0.1,0,1,10.7,28.1,40,2.84,7.300003,80.600006,510,Sri Lanka,Kandy
1/4/2010,51,25.3,19,21.9,27.7,21.3,24.3,2010-01-04T00:50,2010-01-04T12:33,16.55,0.6,0.6,0,2,10.4,29.2,23,3.16,7.300003,80.600006,510,Sri Lanka,Kandy
1/5/2010,1,25,16.3,20.8,28,17.5,22.6,2010-01-05T00:51,2010-01-05T12:34,22.68,0,0,0,0,9.7,27,28,4.18,7.300003,80.600006,510,Sri Lanka,Kandy
1/6/2010,1,24.8,15.6,20.4,25.8,16.6,21.6,2010-01-06T00:51,2010-01-06T12:34,20.14,0,0,0,0,14.6,34.2,49,3.79,7.300003,80.600006,510,Sri Lanka,Kandy
1/7/2010,51,25.4,17.8,22,28.1,19.3,24.5,2010-01-07T00:52,2010-01-07T12:35,16.96,0.3,0.3,0,1,10.6,28.4,26,3.25,7.300003,80.600006,510,Sri Lanka,Kandy
1/8/2010,51,25.1,20.1,22.5,28.6,23.2,26.1,2010-01-08T00:52,2010-01-08T12:35,12.02,0.8,0.8,0,5,9.4,23,326,2.33,7.300003,80.600006,510,Sri Lanka,Kandy
1/9/2010,61,26.9,19.3,23,32.4,22.2,27.2,2010-01-09T00:52,2010-01-09T12:36,17.97,10,10,0,10,5.1,27.4,12,3.48,7.300003,80.600006,510,Sri Lanka,Kandy
1/10/2010,63,26.9,19.1,22.9,32.2,21.7,26.7,2010-01-10T00:52,2010-01-10T12:36,19.41,9.6,9.6,0,11,5.1,20.9,288,3.72,7.300003,80.600006,510,Sri Lanka,Kandy
1/11/2010,51,26.5,19.1,23.3,31.2,22.1,27.3,2010-01-11T00:53,2010-01-11T12:37,19.34,1,1,0,6,4.8,19.1,328,3.74,7.300003,80.600006,510,Sri Lanka,Kandy
1/12/2010,61,26.9,19.7,23.4,31.7,22.9,27.2,2010-01-12T00:53,2010-01-12T12:37,19.66,4,4,0,9,6.4,20.5,23,3.79,7.300003,80.600006,510,Sri Lanka,Kandy
1/13/2010,55,27,20.6,23.3,32.7,24,27.6,2010-01-13T00:53,2010-01-13T12:38,18.35,2.5,2.5,0,7,5.8,24.5,49,3.55,7.300003,80.600006,510,Sri Lanka,Kandy
1/14/2010,51,27,20,23.3,31,22.6,26.5,2010-01-14T00:54,2010-01-14T12:38,19.11,0.2,0.2,0,1,11,28.1,66,3.71,7.300003,80.600006,510,Sri Lanka,Kandy
1/15/2010,1,25.7,19.5,22.1,28.3,21.3,24.1,2010-01-15T00:54,2010-01-15T12:38,21.91,0,0,0,0,13,34.2,55,4.12,7.300003,80.600006,510,Sri Lanka,Kandy
1/16/2010,51,25.7,20.4,22.6,28.9,22.6,25.2,2010-01-16T00:54,2010-01-16T12:39,17.85,0.4,0.4,0,3,14.7,38.9,60,3.26,7.300003,80.600006,510,Sri Lanka,Kandy
1/17/2010,61,24.9,20.6,22.3,27.5,23.5,25.1,2010-01-17T00:54,2010-01-17T12:39,13.47,4,4,0,7,13.5,40.3,49,2.52,7.300003,80.600006,510,Sri Lanka,Kandy
1/18/2010,51,24.9,20.6,22.3,27.8,23.5,25.1,2010-01-18T00:55,2010-01-18T12:40,13.64,0.7,0.7,0,5,10.1,33.5,51,2.58,7.300003,80.600006,510,Sri Lanka,Kandy
1/19/2010,51,26.1,19.8,22.6,30.4,22.3,25.4,2010-01-19T00:55,2010-01-19T12:40,18.13,0.4,0.4,0,3,12,33.1,55,3.43,7.300003,80.600006,510,Sri Lanka,Kandy
1/20/2010,0,25.8,17.8,21.8,28.1,19.5,23.7,2010-01-20T00:55,2010-01-20T12:41,19.95,0,0,0,0,12.7,32.4,55,3.82,7.300003,80.600006,510,Sri Lanka,Kandy
1/21/2010,0,25.5,17.1,21.4,28.1,18.4,23.1,2010-01-21T00:55,2010-01-21T12:41,20.27,0,0,0,0,13.9,34.9,51,3.82,7.300003,80.600006,510,Sri Lanka,Kandy
1/22/2010,1,26,16.7,21.5,29.1,17.7,23.4,2010-01-22T00:55,2010-01-22T12:42,22.82,0,0,0,0,10.8,29.9,46,4.29,7.300003,80.600006,510,Sri Lanka,Kandy
1/23/2010,1,25.5,17.8,21.4,27.9,19.6,23.3,2010-01-23T00:56,2010-01-23T12:42,21.26,0,0,0,0,9,26.6,52,4.04,7.300003,80.600006,510,Sri Lanka,Kandy
1/24/2010,3,25.4,18,22.2,28,20,24.7,2010-01-24T00:56,2010-01-24T12:42,16.59,0,0,0,0,6.9,22.3,36,3.2,7.300003,80.600006,510,Sri Lanka,Kandy
