time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,elevation,country,city
1/1/2010,2,28.5,21.7,24.8,30.4,24.3,27.1,2010-01-01T00:51,2010-01-01T12:32,19.03,0,0,0,0,19.2,43.6,44,4.12,7.5,80.399994,124,Sri Lanka,Kurunegala
1/2/2010,3,28.6,22,24.9,31.4,24.7,27.6,2010-01-02T00:51,2010-01-02T12:33,16.55,0,0,0,0,17.6,40,38,3.55,7.5,80.399994,124,Sri Lanka,Kurunegala
1/3/2010,51,27.6,22.2,24.6,30.9,25,27.5,2010-01-03T00:51,2010-01-03T12:33,16.57,0.1,0.1,0,1,15.2,33.8,38,3.43,7.5,80.399994,124,Sri Lanka,Kurunegala
1/4/2010,3,28.5,20.4,24.4,31.3,22.4,26.8,2010-01-04T00:52,2010-01-04T12:34,19.63,0,0,0,0,13.3,32.8,23,4.09,7.5,80.399994,124,Sri Lanka,Kurunegala
1/5/2010,1,27.9,19.1,23.3,30.8,20.7,25.2,2010-01-05T00:52,2010-01-05T12:34,23.25,0,0,0,0,13,28.1,24,4.72,7.5,80.399994,124,Sri Lanka,Kurunegala
1/6/2010,1,28.1,18.5,23.5,29.4,20.2,25.1,2010-01-06T00:53,2010-01-06T12:35,21.29,0,0,0,0,17.8,37.8,38,4.45,7.5,80.399994,124,Sri Lanka,Kurunegala
1/7/2010,51,28,19.7,24.4,31.1,22.1,27,2010-01-07T00:53,2010-01-07T12:35,16.84,0.1,0.1,0,1,11.4,29.2,29,3.62,7.5,80.399994,124,Sri Lanka,Kurunegala
1/8/2010,51,26.9,21.4,24.1,30.5,24.6,28.3,2010-01-08T00:53,2010-01-08T12:36,12.17,1.7,1.7,0,8,13.1,26.3,3,2.39,7.5,80.399994,124,Sri Lanka,Kurunegala
1/9/2010,61,29.2,21.3,25,36,25.5,30.5,2010-01-09T00:54,2010-01-09T12:36,17.79,6.7,6.7,0,11,4.3,23.8,237,3.56,7.5,80.399994,124,Sri Lanka,Kurunegala
1/10/2010,63,29.2,21.2,24.7,34.9,25.2,29.7,2010-01-10T00:54,2010-01-10T12:37,18.09,6.3,6.3,0,7,7,20.5,239,3.57,7.5,80.399994,124,Sri Lanka,Kurunegala
1/11/2010,51,29.3,21.1,25.5,35.5,24.9,30.4,2010-01-11T00:54,2010-01-11T12:37,19.9,0.4,0.4,0,3,5.2,14.4,226,3.96,7.5,80.399994,124,Sri Lanka,Kurunegala
1/12/2010,63,29.2,21.5,25.2,34.8,25.7,30.1,2010-01-12T00:54,2010-01-12T12:38,19.09,7.5,7.5,0,8,5.5,18.4,35,3.8,7.5,80.399994,124,Sri Lanka,Kurunegala
