time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,elevation,country,city
1/1/2010,2,27.8,24.3,26,28.6,26.5,27.4,2010-01-01T00:55,2010-01-01T12:32,15.37,0,0,0,0,25.2,39.2,45,4.08,8.900002,80,6,Sri Lanka,Mannar
1/2/2010,51,27.8,24.2,25.7,29.4,26.8,27.7,2010-01-02T00:55,2010-01-02T12:32,15.38,0.1,0.1,0,1,23.8,37.1,40,3.7,8.900002,80,6,Sri Lanka,Mannar
1/3/2010,51,27.2,23.6,25.2,29.1,25.4,26.9,2010-01-03T00:56,2010-01-03T12:33,16.07,0.1,0.1,0,1,23.1,36.4,41,3.76,8.900002,80,6,Sri Lanka,Mannar
1/4/2010,2,27.1,22.9,24.8,28.2,24,25.9,2010-01-04T00:56,2010-01-04T12:33,17.43,0,0,0,0,20.2,32,29,4.26,8.900002,80,6,Sri Lanka,Mannar
1/5/2010,1,26.8,22.7,24.7,28.8,23.9,25.6,2010-01-05T00:57,2010-01-05T12:34,22.06,0,0,0,0,21.5,33.1,24,5.07,8.900002,80,6,Sri Lanka,Mannar
1/6/2010,3,27.7,23.3,25.4,28.6,24.7,26.6,2010-01-06T00:57,2010-01-06T12:34,16.79,0,0,0,0,25.3,38.2,38,4.31,8.900002,80,6,Sri Lanka,Mannar
1/7/2010,63,27.6,23.7,25.6,28.7,25.7,26.8,2010-01-07T00:57,2010-01-07T12:35,16.53,7,7,0,4,24.1,36.7,24,4.29,8.900002,80,6,Sri Lanka,Mannar
1/8/2010,65,24.8,23.9,24.4,27.8,25.7,26.7,2010-01-08T00:58,2010-01-08T12:35,2.48,94,94,0,19,26.7,41.8,21,0.91,8.900002,80,6,Sri Lanka,Mannar
1/9/2010,55,29,24.2,26.1,34.4,27.5,30.2,2010-01-09T00:58,2010-01-09T12:36,15.56,2.4,2.4,0,5,17,26.3,79,3.21,8.900002,80,6,Sri Lanka,Mannar
1/10/2010,51,28.8,23.9,26.1,34.6,28.1,30.4,2010-01-10T00:58,2010-01-10T12:36,19.13,0.4,0.4,0,4,13.5,20.9,59,3.84,8.900002,80,6,Sri Lanka,Mannar
1/11/2010,51,28.7,24.3,26.2,35.9,28.4,30.9,2010-01-11T00:58,2010-01-11T12:37,19.2,0.6,0.6,0,2,12.8,20.5,58,3.85,8.900002,80,6,Sri Lanka,Mannar
1/12/2010,53,28.3,24.1,26,34.3,28.9,30.5,2010-01-12T00:59,2010-01-12T12:37,16.62,2.3,2.3,0,7,12,21.6,53,3.34,8.900002,80,6,Sri Lanka,Mannar
1/13/2010,53,28.1,24.6,26.2,34.1,28.8,30.3,2010-01-13T00:59,2010-01-13T12:38,16.11,1.5,1.5,0,9,15.3,25.2,63,3.33,8.900002,80,6,Sri Lanka,Mannar
1/14/2010,51,28.9,24.3,26.5,32.7,27.7,29.7,2010-01-14T00:59,2010-01-14T12:38,18.77,0.2,0.2,0,2,19.1,29.5,57,4.07,8.900002,80,6,Sri Lanka,Mannar
1/15/2010,51,28.1,24.2,25.8,31.1,26.1,27.5,2010-01-15T00:59,2010-01-15T12:39,20.6,0.1,0.1,0,1,24.5,38.9,48,4.65,8.900002,80,6,Sri Lanka,Mannar
1/16/2010,53,27.8,24.9,25.8,30.8,26.3,27.7,2010-01-16T01:00,2010-01-16T12:39,16.04,2.1,2.1,0,10,26.7,40,39,3.67,8.900002,80,6,Sri Lanka,Mannar
1/17/2010,2,28.1,24.8,26.1,29.1,26.1,27.4,2010-01-17T01:00,2010-01-17T12:40,16.96,0,0,0,0,26.2,41,34,4.27,8.900002,80,6,Sri Lanka,Mannar
1/18/2010,51,27.9,24.4,25.9,30.6,26.3,27.8,2010-01-18T01:00,2010-01-18T12:40,18.17,0.1,0.1,0,1,22.1,38.2,40,4.23,8.900002,80,6,Sri Lanka,Mannar
1/19/2010,2,28.4,23.6,25.8,30.4,25.5,27.4,2010-01-19T01:00,2010-01-19T12:41,19.79,0,0,0,0,21.3,33.5,45,4.67,8.900002,80,6,Sri Lanka,Mannar
1/20/2010,1,28,23.3,25.5,29.1,24.7,26.8,2010-01-20T01:00,2010-01-20T12:41,18.92,0,0,0,0,22.2,34.9,41,4.57,8.900002,80,6,Sri Lanka,Mannar
1/21/2010,2,27.5,22.7,24.9,28.2,23.6,25.5,2010-01-21T01:01,2010-01-21T12:42,18.66,0,0,0,0,24.3,37.8,39,4.62,8.900002,80,6,Sri Lanka,Mannar
1/22/2010,0,26.9,22.3,24.2,27.8,22,24.4,2010-01-22T01:01,2010-01-22T12:42,22.87,0,0,0,0,23.3,36.7,36,5.37,8.900002,80,6,Sri Lanka,Mannar
1/23/2010,0,27.9,22.3,24.9,29.2,22,25.6,2010-01-23T01:01,2010-01-23T12:42,22.75,0,0,0,0,20.3,32.8,38,5.37,8.900002,80,6,Sri Lanka,Mannar
1/24/2010,2,28.3,22.9,25.3,31.5,25,27.2,2010-01-24T01:01,2010-01-24T12:43,21.16,0,0,0,0,18.3,27.7,35,4.74,8.900002,80,6,Sri Lanka,Mannar
1/25/2010,51,27.5,22.9,25.2,30.1,24.9,27.4,2010-01-25T01:01,2010-01-25T12:43,18.35,0.1,0.1,0,1,20.4,31.7,41,3.94,8.900002,80,6,Sri Lanka,Mannar
1/26/2010,2,28.7,23.4,26,31.3,25.8,28.2,2010-01-26T01:01,2010-01-26T12:44,19.63,0,0,0,0,19.6,33.5,39,4.41,8.900002,80,6,Sri Lanka,Mannar
1/27/2010,51,28.2,23.8,26,31.7,26.3,28.6,2010-01-27T01:01,2010-01-27T12:44,19.06,0.4,0.4,0,4,23.5,36.7,44,4.1,8.900002,80,6,Sri Lanka,Mannar
1/28/2010,2,29,24.3,26.4,31,26.6,28.4,2010-01-28T01:01,2010-01-28T12:44,19.72,0,0,0,0,24.2,38.9,44,4.52,8.900002,80,6,Sri Lanka,Mannar
1/29/2010,2,28.7,24.1,26.3,30.5,26.1,27.5,2010-01-29T01:01,2010-01-29T12:45,21.63,0,0,0,0,25.2,38.9,39,5.33,8.900002,80,6,Sri Lanka,Mannar
1/30/2010,2,28.4,24.2,26,29.3,25.7,27.1,2010-01-30T01:01,2010-01-30T12:45,18.67,0,0,0,0,25,39.2,40,4.79,8.900002,80,6,Sri Lanka,Mannar
1/31/2010,1,28.7,24.3,26.1,30.3,25.7,27.4,2010-01-31T01:01,2010-01-31T12:45,20,0,0,0,0,23.5,37.1,40,5,8.900002,80,6,Sri Lanka,Mannar
2/1/2010,2,28.7,24,26,31,25.1,27.4,2010-02-01T01:01,2010-02-01T12:46,20.82,0,0,0,0,22.2,36.4,34,5.01,8.900002,80,6,Sri Lanka,Mannar
2/2/2010,1,28.6,23.7,25.7,30.1,25.1,26.6,2010-02-02T01:01,2010-02-02T12:46,21.51,0,0,0,0,27.2,42.5,38,5.27,8.900002,80,6,Sri Lanka,Mannar
2/3/2010,1,28.5,23.2,25.5,29.7,24.6,26.3,2010-02-03T01:01,2010-02-03T12:46,22.29,0,0,0,0,25.1,38.2,39,5.38,8.900002,80,6,Sri Lanka,Mannar
2/4/2010,2,28.3,23.1,25.5,29.5,24.2,26.2,2010-02-04T01:01,2010-02-04T12:47,22.06,0,0,0,0,22.6,37.1,40,5.42,8.900002,80,6,Sri Lanka,Mannar
2/5/2010,1,29,23.5,25.8,30.6,24.5,26.4,2010-02-05T01:01,2010-02-05T12:47,22.31,0,0,0,0,26.7,40.7,37,5.74,8.900002,80,6,Sri Lanka,Mannar
2/6/2010,2,29.3,23.8,26.1,30,24,26.4,2010-02-06T01:00,2010-02-06T12:47,22.05,0,0,0,0,26.7,40.3,45,5.85,8.900002,80,6,Sri Lanka,Mannar
2/7/2010,2,28.9,23.9,25.9,29.8,24.5,26.4,2010-02-07T01:00,2010-02-07T12:47,21.42,0,0,0,0,25.4,39.2,41,5.68,8.900002,80,6,Sri Lanka,Mannar
2/8/2010,2,28.5,23.1,25.5,29.8,24.3,26.4,2010-02-08T01:00,2010-02-08T12:48,23.24,0,0,0,0,22.4,36.7,45,5.53,8.900002,80,6,Sri Lanka,Mannar
2/9/2010,2,29.5,23,26.1,31.8,24.4,28,2010-02-09T01:00,2010-02-09T12:48,22.73,0,0,0,0,18.7,29.5,50,5.32,8.900002,80,6,Sri Lanka,Mannar
2/10/2010,3,28.4,24,26.3,31.1,26.9,28.6,2010-02-10T01:00,2010-02-10T12:48,14.48,0,0,0,0,20.7,32.4,33,3.74,8.900002,80,6,Sri Lanka,Mannar
2/11/2010,3,29,24.8,26.6,31.2,27.3,29,2010-02-11T01:00,2010-02-11T12:48,15.36,0,0,0,0,17.3,28.1,41,4.02,8.900002,80,6,Sri Lanka,Mannar
2/12/2010,51,28.2,24.6,26.2,30.8,27.3,28.7,2010-02-12T00:59,2010-02-12T12:49,9.56,0.2,0.2,0,2,22.5,31.3,48,2.89,8.900002,80,6,Sri Lanka,Mannar
2/13/2010,51,29.4,24,26.6,33.5,27.1,29.5,2010-02-13T00:59,2010-02-13T12:49,17.49,0.1,0.1,0,1,22.7,33.1,41,4.1,8.900002,80,6,Sri Lanka,Mannar
2/14/2010,2,29.3,23.2,26.1,33.6,25.6,28.8,2010-02-14T00:59,2010-02-14T12:49,22.4,0,0,0,0,18.9,32,57,5.07,8.900002,80,6,Sri Lanka,Mannar
2/15/2010,1,30,23.1,26.4,34.2,25.6,28.9,2010-02-15T00:59,2010-02-15T12:49,22.31,0,0,0,0,20.7,32.8,58,5.21,8.900002,80,6,Sri Lanka,Mannar
2/16/2010,51,29.2,23.9,27,33.2,26.6,29.8,2010-02-16T00:58,2010-02-16T12:49,18.37,0.1,0.1,0,1,20,32.8,43,4.5,8.900002,80,6,Sri Lanka,Mannar
2/17/2010,51,29.6,24.5,27,32.8,27.8,29.9,2010-02-17T00:58,2010-02-17T12:50,14.41,0.4,0.4,0,4,23.9,35.3,52,3.7,8.900002,80,6,Sri Lanka,Mannar
2/18/2010,2,30.1,23.8,26.7,35.6,25.9,29.8,2010-02-18T00:58,2010-02-18T12:50,23.87,0,0,0,0,16.9,29.9,59,5.31,8.900002,80,6,Sri Lanka,Mannar
2/19/2010,1,30.2,23.6,26.8,36.2,25.9,29.7,2010-02-19T00:57,2010-02-19T12:50,24.02,0,0,0,0,20,30.6,62,5.51,8.900002,80,6,Sri Lanka,Mannar
2/20/2010,1,30.4,23.5,27.1,35.9,26.8,30.3,2010-02-20T00:57,2010-02-20T12:50,24.5,0,0,0,0,20.1,32,56,5.61,8.900002,80,6,Sri Lanka,Mannar
2/21/2010,1,30.9,24.3,27.4,36.5,27.4,30.4,2010-02-21T00:57,2010-02-21T12:50,24.82,0,0,0,0,22.9,35.6,60,5.83,8.900002,80,6,Sri Lanka,Mannar
2/22/2010,1,31.8,24.3,27.7,36.7,27.6,30.6,2010-02-22T00:56,2010-02-22T12:50,24.98,0,0,0,0,22.9,35.3,66,5.97,8.900002,80,6,Sri Lanka,Mannar
2/23/2010,1,30.7,24,27.4,36.6,26.5,30.8,2010-02-23T00:56,2010-02-23T12:50,23.79,0,0,0,0,16.5,26.3,60,5.54,8.900002,80,6,Sri Lanka,Mannar
2/24/2010,0,30.7,23.7,27.3,35.9,26.1,30.5,2010-02-24T00:56,2010-02-24T12:50,25.37,0,0,0,0,16.6,27.4,157,5.64,8.900002,80,6,Sri Lanka,Mannar
2/25/2010,2,30.4,24.6,27.7,35.1,28.2,31.6,2010-02-25T00:55,2010-02-25T12:51,22.98,0,0,0,0,13.7,23.4,205,5.02,8.900002,80,6,Sri Lanka,Mannar
2/26/2010,2,30.7,24.1,27.6,36.6,27.3,31.2,2010-02-26T00:55,2010-02-26T12:51,23.91,0,0,0,0,19,30.2,51,5.52,8.900002,80,6,Sri Lanka,Mannar
2/27/2010,0,32,23.8,27.7,36.6,26.8,30.4,2010-02-27T00:54,2010-02-27T12:51,25.44,0,0,0,0,22.9,35.3,68,6.22,8.900002,80,6,Sri Lanka,Mannar
2/28/2010,2,31,23.9,27.5,36.6,26.9,30.5,2010-02-28T00:54,2010-02-28T12:51,24.16,0,0,0,0,20.1,29.2,63,5.73,8.900002,80,6,Sri Lanka,Mannar
3/1/2010,2,31.4,22.9,27.1,35.3,25.1,29.2,2010-03-01T00:54,2010-03-01T12:51,25.74,0,0,0,0,19.7,29.9,62,6.28,8.900002,80,6,Sri Lanka,Mannar
3/2/2010,1,31.1,22.6,26.8,34.5,25,28.7,2010-03-02T00:53,2010-03-02T12:51,26.31,0,0,0,0,17.5,26.3,50,6.26,8.900002,80,6,Sri Lanka,Mannar
3/3/2010,1,30.5,22.7,26.7,34.7,24.8,28.9,2010-03-03T00:53,2010-03-03T12:51,26.81,0,0,0,0,16.3,24.8,56,6.22,8.900002,80,6,Sri Lanka,Mannar
3/4/2010,1,30,23.6,27,34.4,26.4,30.2,2010-03-04T00:52,2010-03-04T12:51,25.64,0,0,0,0,15.5,30.2,210,5.58,8.900002,80,6,Sri Lanka,Mannar
3/5/2010,2,30.6,25,27.5,34.8,27.5,30.2,2010-03-05T00:52,2010-03-05T12:51,24.25,0,0,0,0,21,34.2,208,5.72,8.900002,80,6,Sri Lanka,Mannar
3/6/2010,2,31.2,25,28.3,34.7,27.3,30.7,2010-03-06T00:51,2010-03-06T12:51,25.57,0,0,0,0,25.5,37.8,208,6.36,8.900002,80,6,Sri Lanka,Mannar
3/7/2010,2,31.5,26.9,29.1,38.1,30.3,34,2010-03-07T00:51,2010-03-07T12:51,24.45,0,0,0,0,19.5,31.3,201,5.46,8.900002,80,6,Sri Lanka,Mannar
3/8/2010,2,32.3,26.2,29.1,38.9,29.6,33.2,2010-03-08T00:50,2010-03-08T12:51,22.69,0,0,0,0,20.1,34.6,81,5.65,8.900002,80,6,Sri Lanka,Mannar
3/9/2010,2,32,25.4,28.7,37.7,28,32.1,2010-03-09T00:50,2010-03-09T12:51,21.59,0,0,0,0,23.2,38.2,75,5.54,8.900002,80,6,Sri Lanka,Mannar
3/10/2010,1,33.4,25.3,29.1,37,28,31.6,2010-03-10T00:49,2010-03-10T12:51,23.73,0,0,0,0,24,39.2,61,6.48,8.900002,80,6,Sri Lanka,Mannar
3/11/2010,1,33.5,26.2,29.4,37.1,28.9,31.7,2010-03-11T00:49,2010-03-11T12:51,23.7,0,0,0,0,24.6,40,65,6.63,8.900002,80,6,Sri Lanka,Mannar
3/12/2010,1,33.1,26.4,29.2,36,29.2,31.4,2010-03-12T00:48,2010-03-12T12:51,22.42,0,0,0,0,25.6,41,54,6.38,8.900002,80,6,Sri Lanka,Mannar
3/13/2010,51,32.3,26.3,29,36.3,29.6,32.3,2010-03-13T00:48,2010-03-13T12:51,18.48,0.3,0.3,0,1,20.2,32,51,5,8.900002,80,6,Sri Lanka,Mannar
3/14/2010,1,32.6,25,28.9,38.3,29,32.7,2010-03-14T00:47,2010-03-14T12:51,24.59,0,0,0,0,18.1,29.5,53,5.94,8.900002,80,6,Sri Lanka,Mannar
3/15/2010,0,32.6,24.9,29,38.6,28.9,32.4,2010-03-15T00:47,2010-03-15T12:51,26.21,0,0,0,0,15.5,25.9,128,6.32,8.900002,80,6,Sri Lanka,Mannar
3/16/2010,1,32.2,24.9,28.7,38.2,28.5,32.7,2010-03-16T00:46,2010-03-16T12:51,24.75,0,0,0,0,15.6,27.4,74,5.94,8.900002,80,6,Sri Lanka,Mannar
3/17/2010,2,33,24.7,28.8,36.8,28.6,31.4,2010-03-17T00:46,2010-03-17T12:51,24.94,0,0,0,0,23.7,37.4,62,6.65,8.900002,80,6,Sri Lanka,Mannar
3/18/2010,2,32.1,26.3,28.9,34.4,29.3,31,2010-03-18T00:45,2010-03-18T12:51,20.1,0,0,0,0,25.7,41,51,5.88,8.900002,80,6,Sri Lanka,Mannar
3/19/2010,1,33.5,26,29.1,36.6,29.9,32.2,2010-03-19T00:45,2010-03-19T12:51,23.51,0,0,0,0,24,38.9,50,6.17,8.900002,80,6,Sri Lanka,Mannar
