time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,elevation,country,city
1/1/2010,3,26.7,20.4,23.5,28.4,22.8,25.6,2010-01-01T00:50,2010-01-01T12:31,17.22,0,0,0,0,17.7,42.8,57,3.54,7.5999985,80.600006,376,Sri Lanka,Matale
1/2/2010,3,26.8,20.6,23.6,29.6,23.3,26.2,2010-01-02T00:50,2010-01-02T12:32,14.97,0,0,0,0,16.1,36,48,3.05,7.5999985,80.600006,376,Sri Lanka,Matale
1/3/2010,51,25.7,20.7,23.1,28.9,23.6,26.1,2010-01-03T00:50,2010-01-03T12:32,15.15,0.9,0.9,0,6,12.5,32.4,44,2.89,7.5999985,80.600006,376,Sri Lanka,Matale
1/4/2010,3,26.7,19,23,29.3,20.9,25.3,2010-01-04T00:51,2010-01-04T12:33,17.18,0,0,0,0,10.7,27.7,30,3.43,7.5999985,80.600006,376,Sri Lanka,Matale
1/5/2010,1,26.6,17.7,22,29.8,19.1,23.9,2010-01-05T00:51,2010-01-05T12:33,23.12,0,0,0,0,10.7,25.9,35,4.49,7.5999985,80.600006,376,Sri Lanka,Matale
1/6/2010,2,26.4,17.2,22.1,27.7,18.7,23.6,2010-01-06T00:52,2010-01-06T12:34,20.34,0,0,0,0,15.9,36.4,50,4.05,7.5999985,80.600006,376,Sri Lanka,Matale
1/7/2010,51,26.4,18.9,23.1,29.3,21,25.7,2010-01-07T00:52,2010-01-07T12:34,15.76,0.4,0.4,0,2,11.7,28.1,33,3.23,7.5999985,80.600006,376,Sri Lanka,Matale
1/8/2010,51,26.3,20,23.2,30.1,23.2,27.3,2010-01-08T00:52,2010-01-08T12:35,11.85,1.6,1.6,0,6,10.7,25.2,334,2.32,7.5999985,80.600006,376,Sri Lanka,Matale
1/9/2010,61,28.5,20.1,24.1,34.6,23.5,28.8,2010-01-09T00:53,2010-01-09T12:35,18.18,5.9,5.9,0,8,3.9,26.3,119,3.61,7.5999985,80.600006,376,Sri Lanka,Matale
1/10/2010,61,28.8,19.8,24.3,34.2,22.9,28.7,2010-01-10T00:53,2010-01-10T12:36,19.12,5.2,5.2,0,7,4.6,20.9,160,3.79,7.5999985,80.600006,376,Sri Lanka,Matale
