temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,elevation,country,city
29.4,22.9,26.2,35.7,27.6,31.5,2010-01-01T00:47,2010-01-01T12:34,21.77,0.4,0.4,0,2,7.2,22.3,114,4.28,6,80.399994,7,Sri Lanka,Matara
28.4,24.2,26.1,35.4,28.9,31.6,2010-01-02T00:48,2010-01-02T12:35,20.47,1.4,1.4,0,5,5.4,22.3,260,4.03,6,80.399994,7,Sri Lanka,Matara
28.3,23.8,25.6,34.6,28.6,30.8,2010-01-03T00:48,2010-01-03T12:35,17.11,3.3,3.3,0,16,8.2,24.1,114,3.33,6,80.399994,7,Sri Lanka,Matara
27.8,23,25.6,34,27.7,30.7,2010-01-04T00:49,2010-01-04T12:36,13.12,1.2,1.2,0,5,7.1,24.8,264,2.68,6,80.399994,7,Sri Lanka,Matara
28.2,22.2,25.7,31.5,26.2,29.5,2010-01-05T00:49,2010-01-05T12:36,21.46,0,0,0,0,11.3,26.3,282,4.28,6,80.399994,7,Sri Lanka,Matara
27.6,23.7,25.8,32.9,27.9,29.7,2010-01-06T00:49,2010-01-06T12:37,19.56,0.2,0.2,0,2,10.1,23.4,201,3.99,6,80.399994,7,Sri Lanka,Matara
28.2,23.5,26,33.3,27.1,30.3,2010-01-07T00:50,2010-01-07T12:37,21.25,0,0,0,0,12.8,23.8,261,4.15,6,80.399994,7,Sri Lanka,Matara
27.9,24.8,26.2,33.1,29.4,31.1,2010-01-08T00:50,2010-01-08T12:38,15.81,1,1,0,6,8.8,19.1,176,3.19,6,80.399994,7,Sri Lanka,Matara
28.4,24.7,26.1,34.5,28.9,30.7,2010-01-09T00:50,2010-01-09T12:38,19.56,0.6,0.6,0,5,14.5,30.2,100,3.75,6,80.399994,7,Sri Lanka,Matara
29.1,24.3,26.4,34.5,28.9,31.1,2010-01-10T00:51,2010-01-10T12:39,22.04,0,0,0,0,13.4,27.4,98,4.32,6,80.399994,7,Sri Lanka,Matara
28.9,23.9,26,35.4,29.1,31.3,2010-01-11T00:51,2010-01-11T12:39,21.41,0.5,0.5,0,2,9.6,24.8,101,4.13,6,80.399994,7,Sri Lanka,Matara
28.8,23.7,26.1,35.6,28.9,31.6,2010-01-12T00:51,2010-01-12T12:40,21.9,5.4,5.4,0,7,6.6,18.7,84,4.3,6,80.399994,7,Sri Lanka,Matara
28.6,24.3,26,36,29.1,31.3,2010-01-13T00:52,2010-01-13T12:40,20.69,2.7,2.7,0,7,8.7,23.4,101,3.99,6,80.399994,7,Sri Lanka,Matara
29.9,23.7,26.1,35.2,28.1,30.5,2010-01-14T00:52,2010-01-14T12:41,21.32,0.6,0.6,0,2,17.6,38.2,72,4.12,6,80.399994,7,Sri Lanka,Matara
29.9,23.4,26.5,35.9,27.9,31.5,2010-01-15T00:52,2010-01-15T12:41,23.06,0,0,0,0,11.1,25.6,57,4.52,6,80.399994,7,Sri Lanka,Matara
29.3,23.3,26.3,35.5,28,31.2,2010-01-16T00:53,2010-01-16T12:41,20.33,1.8,1.8,0,7,11.9,32.8,60,4.11,6,80.399994,7,Sri Lanka,Matara
29.6,24.1,26.1,35.1,29,31.1,2010-01-17T00:53,2010-01-17T12:42,17.8,2.1,2.1,0,5,11.8,34.9,46,3.55,6,80.399994,7,Sri Lanka,Matara
28.1,23.3,25.5,34.4,27.9,30.8,2010-01-18T00:53,2010-01-18T12:42,16.58,7,7,0,10,6.9,29.5,53,3.29,6,80.399994,7,Sri Lanka,Matara
29.3,23.2,25.9,35.5,27.9,30.9,2010-01-19T00:53,2010-01-19T12:43,19.7,3.6,3.6,0,3,9.7,30.2,63,3.86,6,80.399994,7,Sri Lanka,Matara
28.8,23.1,26.1,36,27.6,31.3,2010-01-20T00:53,2010-01-20T12:43,22.08,0.1,0.1,0,1,7.2,19.4,257,4.38,6,80.399994,7,Sri Lanka,Matara
28.2,23,25.7,34.9,27.4,30.7,2010-01-21T00:54,2010-01-21T12:43,21.62,1.5,1.5,0,7,11.8,22.7,77,4.23,6,80.399994,7,Sri Lanka,Matara
28.4,23.5,26,33.9,27.7,30.5,2010-01-22T00:54,2010-01-22T12:44,21.5,0.1,0.1,0,1,12.3,28.1,99,4.23,6,80.399994,7,Sri Lanka,Matara
28.4,23.3,25.7,33.9,27.2,29.9,2010-01-23T00:54,2010-01-23T12:44,21.58,0,0,0,0,11.1,21.6,86,4.27,6,80.399994,7,Sri Lanka,Matara
28.9,23.1,25.9,35.3,27.1,30.5,2010-01-24T00:54,2010-01-24T12:45,22.26,0.5,0.5,0,3,8.4,23.4,68,4.44,6,80.399994,7,Sri Lanka,Matara
29.7,22.7,26.2,35.6,26.9,31.1,2010-01-25T00:54,2010-01-25T12:45,23.4,0,0,0,0,9.2,25.2,71,4.63,6,80.399994,7,Sri Lanka,Matara
30.2,22.5,26.5,36.1,26.7,31.5,2010-01-26T00:54,2010-01-26T12:45,24.28,0,0,0,0,6.8,22.3,323,4.85,6,80.399994,7,Sri Lanka,Matara
29.5,22.8,26.2,34.9,27.5,31.5,2010-01-27T00:54,2010-01-27T12:46,21.27,3.2,3.2,0,4,10.1,31,59,4.2,6,80.399994,7,Sri Lanka,Matara
30.1,24.1,26.9,35.4,28.6,31.3,2010-01-28T00:55,2010-01-28T12:46,22.37,0.1,0.1,0,1,12.9,27.7,56,4.62,6,80.399994,7,Sri Lanka,Matara
30.4,23.8,26.8,36.4,28.6,32,2010-01-29T00:55,2010-01-29T12:46,22.33,1.5,1.5,0,4,8.9,36.4,61,4.49,6,80.399994,7,Sri Lanka,Matara
29.2,24.1,26,34.4,28.9,30.8,2010-01-30T00:55,2010-01-30T12:46,16.94,14.5,14.5,0,11,12.7,40,48,3.42,6,80.399994,7,Sri Lanka,Matara
28.9,24,25.9,35.2,29.1,31.5,2010-01-31T00:55,2010-01-31T12:47,18.29,20.8,20.8,0,9,10,32.8,64,3.59,6,80.399994,7,Sri Lanka,Matara
29.1,24.4,26.1,35.9,28.9,31.4,2010-02-01T00:55,2010-02-01T12:47,15.89,9.3,9.3,0,13,10.9,31.3,50,3.13,6,80.399994,7,Sri Lanka,Matara
29.8,24.3,26.2,36.1,29.2,31.7,2010-02-02T00:55,2010-02-02T12:47,21.65,8.2,8.2,0,8,12.6,31,46,4.21,6,80.399994,7,Sri Lanka,Matara
28.8,24,26.4,36.9,27.1,31.5,2010-02-03T00:55,2010-02-03T12:47,22.58,1.1,1.1,0,4,14.1,24.1,94,4.49,6,80.399994,7,Sri Lanka,Matara
30,23.8,26.6,36.4,27.1,31.8,2010-02-04T00:55,2010-02-04T12:48,23.85,0.1,0.1,0,1,12,23.8,60,4.72,6,80.399994,7,Sri Lanka,Matara
29.5,23.5,26.3,37.6,28,31.9,2010-02-05T00:55,2010-02-05T12:48,23.14,1.2,1.2,0,5,8.4,23,23,4.61,6,80.399994,7,Sri Lanka,Matara
29.6,23,26.5,36.9,26.9,31.3,2010-02-06T00:55,2010-02-06T12:48,24.2,0.3,0.3,0,2,14.8,28.1,65,4.99,6,80.399994,7,Sri Lanka,Matara
30.1,24,26.7,35.2,27,30.6,2010-02-07T00:54,2010-02-07T12:48,22.53,0,0,0,0,13.8,24.1,63,4.71,6,80.399994,7,Sri Lanka,Matara
28.9,23.7,26.4,35.7,27.3,30.6,2010-02-08T00:54,2010-02-08T12:49,19.63,0.1,0.1,0,1,12.7,28.4,75,4.09,6,80.399994,7,Sri Lanka,Matara
27.5,24.5,26,31,29,29.9,2010-02-09T00:54,2010-02-09T12:49,9.34,0,0,0,0,10.2,19.1,70,2.32,6,80.399994,7,Sri Lanka,Matara
29.5,24.2,26.8,36.7,28.9,32.2,2010-02-10T00:54,2010-02-10T12:49,20.99,7.8,7.8,0,7,12.3,28.1,56,4.19,6,80.399994,7,Sri Lanka,Matara
28.8,24.7,26.2,34.9,30.2,31.7,2010-02-11T00:54,2010-02-11T12:49,11.56,1.7,1.7,0,9,9.2,21.2,15,2.45,6,80.399994,7,Sri Lanka,Matara
29,24.7,26.8,34.2,30,32.2,2010-02-12T00:54,2010-02-12T12:49,13.6,3,3,0,8,10.5,28.4,74,2.78,6,80.399994,7,Sri Lanka,Matara
29.6,23.9,26.5,36,28.9,32,2010-02-13T00:54,2010-02-13T12:49,19.24,5.7,5.7,0,9,12.6,30.2,67,3.8,6,80.399994,7,Sri Lanka,Matara
29.7,23.8,26.6,37.5,27.4,31.7,2010-02-14T00:54,2010-02-14T12:49,23.45,0.1,0.1,0,1,13.9,24.8,96,4.84,6,80.399994,7,Sri Lanka,Matara
30.2,23.7,26.7,35.7,26.9,30.3,2010-02-15T00:53,2010-02-15T12:50,25.56,0,0,0,0,16,29.2,70,5.42,6,80.399994,7,Sri Lanka,Matara
29.8,23.9,26.7,36.7,27.7,31.6,2010-02-16T00:53,2010-02-16T12:50,19.2,6.7,6.7,0,11,13.6,34.6,53,3.91,6,80.399994,7,Sri Lanka,Matara
29.7,24.3,26.6,34.2,28.4,31.2,2010-02-17T00:53,2010-02-17T12:50,17.37,2.3,2.3,0,8,16.7,32.8,66,3.53,6,80.399994,7,Sri Lanka,Matara
