"temperature_2m_max","temperature_2m_min","temperature_2m_mean","apparent_temperature_max","apparent_temperature_min","apparent_temperature_mean","sunrise","sunset","shortwave_radiation_sum","precipitation_sum","rain_sum","snowfall_sum","precipitation_hours","windspeed_10m_max","windgusts_10m_max","winddirection_10m_dominant","et0_fao_evapotranspiration","latitude","longitude","elevation","country","city"
"30","22.8","26.2","34.3","25.1","29.4","2010-01-01T00:51","2010-01-01T12:36","20.92","0","0","0","0","11.7","27.4","20","4.6","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"30.1","23.7","26.3","33.8","26.3","29.9","2010-01-02T00:52","2010-01-02T12:36","17.71","0.1","0.1","0","1","13","27","24","3.81","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"29.6","23.3","26","34.4","26.4","30","2010-01-03T00:52","2010-01-03T12:37","17.76","0.6","0.6","0","3","12.3","27.4","16","3.7","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"28.7","22.2","25.5","31.5","23.6","27.9","2010-01-04T00:53","2010-01-04T12:37","16.5","0","0","0","0","17","34.6","356","3.82","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"28","21.6","24.7","29.8","23.3","26.2","2010-01-05T00:53","2010-01-05T12:38","23.61","0","0","0","0","18.7","37.1","355","5.08","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"28.7","21.7","25.1","31","23.3","26.7","2010-01-06T00:53","2010-01-06T12:38","21.48","0","0","0","0","17.1","32","12","4.93","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"29.2","22.4","26","33.8","24.6","28.8","2010-01-07T00:54","2010-01-07T12:38","19.38","0","0","0","0","13.5","25.6","10","4.4","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"28.4","23.7","25.7","32.2","26.4","29.6","2010-01-08T00:54","2010-01-08T12:39","13","0.8","0.8","0","3","13","24.8","10","2.87","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"28.9","23.7","26.1","34.9","28.5","31.3","2010-01-09T00:54","2010-01-09T12:39","16.89","3.2","3.2","0","5","11.5","31.7","164","3.31","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"30","23.3","26.4","35.7","27.9","31.4","2010-01-10T00:55","2010-01-10T12:40","20.52","0.1","0.1","0","1","6.9","18.4","26","4.13","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"29.4","23","26.3","35.4","27.3","31.5","2010-01-11T00:55","2010-01-11T12:40","19.88","0.7","0.7","0","5","6.4","18.4","182","4.01","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"29.5","23.8","26.1","36.3","28.7","31.4","2010-01-12T00:55","2010-01-12T12:41","19.56","6.8","6.8","0","4","11.2","26.6","25","3.87","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"29.7","23.6","26","36.4","28.4","31.2","2010-01-13T00:56","2010-01-13T12:41","18.41","4.8","4.8","0","10","7.6","24.1","149","3.71","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"29.8","23.3","26.1","37","27.9","31.5","2010-01-14T00:56","2010-01-14T12:42","19.46","5.7","5.7","0","4","10.2","26.6","133","3.88","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"30.6","23.3","26.6","34.9","26.1","29.8","2010-01-15T00:56","2010-01-15T12:42","21.05","0","0","0","0","12.4","24.8","22","4.63","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"31","23.6","26.5","36.1","26.2","30.8","2010-01-16T00:56","2010-01-16T12:43","19.46","3.3","3.3","0","4","10.8","28.1","25","4.1","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"29.8","24.2","26.5","33.7","27.4","30.2","2010-01-17T00:57","2010-01-17T12:43","16.88","2.7","2.7","0","4","14.2","32","19","3.71","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"29.2","24","26.1","33.8","27.4","30.2","2010-01-18T00:57","2010-01-18T12:44","15.79","4.5","4.5","0","5","9.8","24.1","23","3.35","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"30.4","23.9","26.6","36.9","26.9","31","2010-01-19T00:57","2010-01-19T12:44","19.4","4.9","4.9","0","5","9.4","25.9","39","4.11","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"31.1","23.6","27","35.9","25.8","30.2","2010-01-20T00:57","2010-01-20T12:44","22.72","0","0","0","0","11.2","23.8","25","4.87","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"31.1","22.7","26.7","34.2","24.9","29","2010-01-21T00:58","2010-01-21T12:45","23.56","0","0","0","0","14.9","32","16","5.42","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"31.3","22.1","26.3","33.9","24.1","28.8","2010-01-22T00:58","2010-01-22T12:45","24.28","0","0","0","0","13.8","31","9","5.26","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"30.6","21.9","25.8","33.5","23.1","28.4","2010-01-23T00:58","2010-01-23T12:46","23.34","0","0","0","0","13.7","29.9","10","4.77","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"30.1","22.9","26.7","33.9","25.6","29.9","2010-01-24T00:58","2010-01-24T12:46","19.96","0","0","0","0","9","19.1","316","4.36","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"31.1","23.2","27.3","34.6","27.1","31","2010-01-25T00:58","2010-01-25T12:46","19.63","0","0","0","0","10.1","25.6","13","4.23","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"31.6","24.1","27.5","37","28","31.7","2010-01-26T00:58","2010-01-26T12:47","23.35","0","0","0","0","7.9","20.5","4","4.89","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"31.9","24.1","27.6","37.5","27.7","32","2010-01-27T00:58","2010-01-27T12:47","20.57","0.2","0.2","0","2","9.4","23","30","4.31","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"32.3","24.6","28.1","36.6","27.1","31.7","2010-01-28T00:58","2010-01-28T12:47","20.12","0.1","0.1","0","1","14.3","29.9","20","4.75","6.800003","79.899994","9","Sri Lanka","Moratuwa"
"32.7","24.7","28.2","36.3","26.9","31","2010-01-29T00:58","2010-01-29T12:48","20.67","0","0","0","0","14.2","32.4","22","5.27","6.800003","79.899994","9","Sri Lanka","Moratuwa"
