"temperature_2m_max","temperature_2m_min","temperature_2m_mean","apparent_temperature_max","apparent_temperature_min","apparent_temperature_mean","sunrise","sunset","shortwave_radiation_sum","precipitation_sum","rain_sum","snowfall_sum","precipitation_hours","windspeed_10m_max","windgusts_10m_max","winddirection_10m_dominant","et0_fao_evapotranspiration","latitude","longitude","elevation","country","city"
"29.8","23.1","26.2","33","25.4","28.6","2010-01-01T00:52","2010-01-01T12:35","21.02","0","0","0","0","17.9","37.8","20","4.85","7.0999985","79.899994","5","Sri Lanka","Negombo"
"29.8","23.7","26.2","32.8","26.1","29.2","2010-01-02T00:53","2010-01-02T12:35","17.98","0","0","0","0","17.7","36","20","4.02","7.0999985","79.899994","5","Sri Lanka","Negombo"
"29.4","23.4","26.1","33.3","26.4","29.4","2010-01-03T00:53","2010-01-03T12:36","18.05","0.2","0.2","0","1","16.6","34.9","16","3.85","7.0999985","79.899994","5","Sri Lanka","Negombo"
"29","22.1","25.5","31.6","23.7","27.8","2010-01-04T00:53","2010-01-04T12:36","18.46","0","0","0","0","18.2","38.2","4","4.12","7.0999985","79.899994","5","Sri Lanka","Negombo"
"28.1","21.6","24.6","30.3","23.4","26.3","2010-01-05T00:54","2010-01-05T12:37","23.54","0","0","0","0","17.4","36","3","4.96","7.0999985","79.899994","5","Sri Lanka","Negombo"
"28.7","21.5","25.1","30.7","23.5","26.6","2010-01-06T00:54","2010-01-06T12:37","22.34","0","0","0","0","19.8","37.1","18","5.07","7.0999985","79.899994","5","Sri Lanka","Negombo"
"29.2","22.3","25.8","33.1","24.9","28.5","2010-01-07T00:55","2010-01-07T12:38","19","0","0","0","0","15.1","30.2","14","4.31","7.0999985","79.899994","5","Sri Lanka","Negombo"
"28.2","23.5","25.5","32.1","26.3","29.4","2010-01-08T00:55","2010-01-08T12:38","12.89","0.9","0.9","0","5","15.2","27","8","2.75","7.0999985","79.899994","5","Sri Lanka","Negombo"
"29.4","23.6","26.1","35.6","28.5","31.5","2010-01-09T00:55","2010-01-09T12:39","17.1","3.3","3.3","0","8","10","27.7","195","3.39","7.0999985","79.899994","5","Sri Lanka","Negombo"
"29.5","23.2","26.1","35.9","28","31.4","2010-01-10T00:56","2010-01-10T12:39","19.24","0.2","0.2","0","1","5.7","19.4","3","3.88","7.0999985","79.899994","5","Sri Lanka","Negombo"
"29.8","22.6","26.5","36.3","27","32","2010-01-11T00:56","2010-01-11T12:40","20.04","0","0","0","0","6.1","14.8","246","4.06","7.0999985","79.899994","5","Sri Lanka","Negombo"
"29.5","24.1","26.2","36.3","29.3","31.7","2010-01-12T00:56","2010-01-12T12:40","19.22","4.7","4.7","0","8","9.4","24.1","1","3.79","7.0999985","79.899994","5","Sri Lanka","Negombo"
"30","23.8","26.4","36.7","28.8","31.9","2010-01-13T00:56","2010-01-13T12:41","18.57","2.1","2.1","0","6","5.9","23","187","3.75","7.0999985","79.899994","5","Sri Lanka","Negombo"
"30.5","23.4","26.5","37.1","28.2","32","2010-01-14T00:57","2010-01-14T12:41","19.91","0.7","0.7","0","2","9.1","27.7","32","4.03","7.0999985","79.899994","5","Sri Lanka","Negombo"
"30.3","23.6","26.5","33.4","26.1","29","2010-01-15T00:57","2010-01-15T12:42","22.05","0","0","0","0","16.1","34.9","23","5.18","7.0999985","79.899994","5","Sri Lanka","Negombo"
"30.6","23.8","26.7","34.6","26.4","30.3","2010-01-16T00:57","2010-01-16T12:42","19.58","0.4","0.4","0","1","16.5","38.9","25","4.21","7.0999985","79.899994","5","Sri Lanka","Negombo"
"29.5","24.2","26.5","32.2","27.1","29.4","2010-01-17T00:57","2010-01-17T12:43","16.8","0.4","0.4","0","1","20","42.8","19","3.86","7.0999985","79.899994","5","Sri Lanka","Negombo"
"29.2","24","26.1","33.2","27.2","29.6","2010-01-18T00:58","2010-01-18T12:43","15.44","0.3","0.3","0","2","12.5","33.8","17","3.46","7.0999985","79.899994","5","Sri Lanka","Negombo"
"30.9","23.7","26.9","35.5","26.5","30.5","2010-01-19T00:58","2010-01-19T12:44","19.89","0.2","0.2","0","1","13","32","28","4.38","7.0999985","79.899994","5","Sri Lanka","Negombo"
"30.9","23.3","26.7","34.4","25.4","29.2","2010-01-20T00:58","2010-01-20T12:44","23.04","0","0","0","0","14.3","33.5","24","5.24","7.0999985","79.899994","5","Sri Lanka","Negombo"
"30.6","22.5","26.2","32.9","24.8","28.1","2010-01-21T00:58","2010-01-21T12:44","23.88","0","0","0","0","19.9","42.8","20","5.56","7.0999985","79.899994","5","Sri Lanka","Negombo"
"30.5","22","26","32.5","23.5","27.8","2010-01-22T00:58","2010-01-22T12:45","24.28","0","0","0","0","19","41.4","14","5.51","7.0999985","79.899994","5","Sri Lanka","Negombo"
"30.3","21.6","25.9","32.6","22.8","27.9","2010-01-23T00:59","2010-01-23T12:45","23.67","0","0","0","0","15.7","37.4","17","5.09","7.0999985","79.899994","5","Sri Lanka","Negombo"
"30.7","22.7","26.6","34.3","25.5","29.9","2010-01-24T00:59","2010-01-24T12:46","20.5","0","0","0","0","7.4","21.2","2","4.28","7.0999985","79.899994","5","Sri Lanka","Negombo"
"31.3","23.9","27.4","34.1","27.1","30.4","2010-01-25T00:59","2010-01-25T12:46","20.22","0","0","0","0","11.6","29.9","21","4.58","7.0999985","79.899994","5","Sri Lanka","Negombo"
"32.5","24","27.9","36.6","27.6","31.4","2010-01-26T00:59","2010-01-26T12:46","23.56","0","0","0","0","9.4","24.1","20","5.12","7.0999985","79.899994","5","Sri Lanka","Negombo"
"32.5","24","27.8","36.9","27.5","31.5","2010-01-27T00:59","2010-01-27T12:47","20.5","0","0","0","0","13.3","31","26","4.64","7.0999985","79.899994","5","Sri Lanka","Negombo"
"32","24.6","27.9","35.2","26.6","30.5","2010-01-28T00:59","2010-01-28T12:47","20.48","0","0","0","0","18.4","41.4","25","5.28","7.0999985","79.899994","5","Sri Lanka","Negombo"
"32.5","24.5","27.9","34.9","26.6","29.8","2010-01-29T00:59","2010-01-29T12:47","20.22","0","0","0","0","20.8","42.8","23","5.55","7.0999985","79.899994","5","Sri Lanka","Negombo"
"29","23","26","30.7","25.9","28.2","2010-01-30T00:59","2010-01-30T12:48","9.68","22.6","22.6","0","9","19.2","44.3","24","3.02","7.0999985","79.899994","5","Sri Lanka","Negombo"
"30.9","23.9","27","35.7","25.9","30.2","2010-01-31T00:59","2010-01-31T12:48","20.26","1.1","1.1","0","2","15.8","33.5","20","4.64","7.0999985","79.899994","5","Sri Lanka","Negombo"
"31.2","24.6","26.9","36.1","27.1","31","2010-02-01T00:59","2010-02-01T12:48","17.9","4.6","4.6","0","4","14","32","37","3.99","7.0999985","79.899994","5","Sri Lanka","Negombo"
"31.3","24.1","26.9","35.3","27.2","30.1","2010-02-02T00:59","2010-02-02T12:48","19.4","1","1","0","4","14.5","33.1","20","4.48","7.0999985","79.899994","5","Sri Lanka","Negombo"
"31.6","23.6","26.9","34.2","26.1","29.6","2010-02-03T00:59","2010-02-03T12:49","22.64","0","0","0","0","18.7","39.6","14","5.21","7.0999985","79.899994","5","Sri Lanka","Negombo"
"31.8","23.4","27.2","36.1","25.9","29.9","2010-02-04T00:59","2010-02-04T12:49","22.88","0","0","0","0","15.5","28.8","9","5.32","7.0999985","79.899994","5","Sri Lanka","Negombo"
"32.1","23.7","27.3","35.2","25.3","29.5","2010-02-05T00:59","2010-02-05T12:49","23.36","0","0","0","0","16.2","32","11","5.74","7.0999985","79.899994","5","Sri Lanka","Negombo"
"32.4","23.4","27.4","35.2","25.2","29.1","2010-02-06T00:59","2010-02-06T12:50","23.37","0","0","0","0","18.5","36.7","23","5.98","7.0999985","79.899994","5","Sri Lanka","Negombo"
"32.1","23.3","27.3","34.5","24.2","28.4","2010-02-07T00:59","2010-02-07T12:50","21.51","0","0","0","0","20.3","38.2","21","6.04","7.0999985","79.899994","5","Sri Lanka","Negombo"
"32.2","22.9","27.6","33.9","24","29.6","2010-02-08T00:59","2010-02-08T12:50","23.82","0","0","0","0","17.7","40.7","22","5.5","7.0999985","79.899994","5","Sri Lanka","Negombo"
"29","24.1","26.5","32.7","25.9","29.9","2010-02-09T00:58","2010-02-09T12:50","9.06","1","1","0","2","10.8","21.2","18","2.22","7.0999985","79.899994","5","Sri Lanka","Negombo"
"32","24.6","28.3","36.8","29.3","32.4","2010-02-10T00:58","2010-02-10T12:50","19.35","0","0","0","0","12.8","28.1","348","4.54","7.0999985","79.899994","5","Sri Lanka","Negombo"
