"temperature_2m_max","temperature_2m_min","temperature_2m_mean","apparent_temperature_max","apparent_temperature_min","apparent_temperature_mean","sunrise","sunset","shortwave_radiation_sum","precipitation_sum","rain_sum","snowfall_sum","precipitation_hours","windspeed_10m_max","windgusts_10m_max","winddirection_10m_dominant","et0_fao_evapotranspiration","latitude","longitude","elevation","country","city"
"27.3","25.1","26.3","28.9","26.5","27.4","2010-01-01T00:49","2010-01-01T12:27","16.59","0","0","0","0","22.7","35.6","36","4.67","8.599998","81.20001","7","Sri Lanka","Trincomalee"
"27.3","24.3","25.7","28.8","26.6","27.6","2010-01-02T00:49","2010-01-02T12:28","15.31","2","2","0","11","22.5","36","36","3.77","8.599998","81.20001","7","Sri Lanka","Trincomalee"
"26.3","24.2","25.2","28.4","26","27.1","2010-01-03T00:50","2010-01-03T12:28","15.44","1.4","1.4","0","7","22.7","34.2","26","3.52","8.599998","81.20001","7","Sri Lanka","Trincomalee"
"26.5","23.5","24.9","28.8","24.5","26.3","2010-01-04T00:50","2010-01-04T12:29","18.62","0","0","0","0","19.5","33.1","9","4.32","8.599998","81.20001","7","Sri Lanka","Trincomalee"
"26.8","23.4","25.1","28.6","24.7","25.9","2010-01-05T00:51","2010-01-05T12:29","22.31","0","0","0","0","20.9","34.2","7","5.33","8.599998","81.20001","7","Sri Lanka","Trincomalee"
"27.1","24.5","25.7","27.8","25.4","26.4","2010-01-06T00:51","2010-01-06T12:30","16.78","0","0","0","0","22.1","34.6","23","4.76","8.599998","81.20001","7","Sri Lanka","Trincomalee"
"27.5","23.3","25.3","28.3","25.5","26.9","2010-01-07T00:51","2010-01-07T12:30","13.32","15.6","15.6","0","12","23.1","37.1","356","3.58","8.599998","81.20001","7","Sri Lanka","Trincomalee"
"26","23.4","24.9","30.6","27.2","28.9","2010-01-08T00:52","2010-01-08T12:31","8.87","1.8","1.8","0","8","14.1","31.7","80","1.85","8.599998","81.20001","7","Sri Lanka","Trincomalee"
"28.2","24.4","26.2","33.3","28.7","30.6","2010-01-09T00:52","2010-01-09T12:31","19.17","2.2","2.2","0","5","17.3","28.1","118","3.65","8.599998","81.20001","7","Sri Lanka","Trincomalee"
"27.9","24.3","25.9","33.1","28.8","30.6","2010-01-10T00:52","2010-01-10T12:32","19.44","0.5","0.5","0","3","15","27.4","90","3.64","8.599998","81.20001","7","Sri Lanka","Trincomalee"
